Series ID,Units,Gender,Age [years],Disability,Race,Industry and Class of Worker,Educational Attainment,Occupation,Veteran Status,Period of Service,Nativity,Metric,Series Description
LNU03049587,Thousands of Persons,Men,≥18,All,All,All,All,All,Veterans,Other Service Periods,All,level,Men/≥18/All/All/All/All/All/Veterans/Other Service Periods/All
LNU04049587,Percent,Men,≥18,All,All,All,All,All,Veterans,Other Service Periods,All,rate,Men/≥18/All/All/All/All/All/Veterans/Other Service Periods/All
LNU03073765,Thousands of Persons,Men,≥18,All,All,All,All,All,Veterans,Vietnam-Era and Earlier Wartime Periods,All,level,Men/≥18/All/All/All/All/All/Veterans/Vietnam-Era and Earlier Wartime Periods/All
LNU04073765,Percent,Men,≥18,All,All,All,All,All,Veterans,Vietnam-Era and Earlier Wartime Periods,All,rate,Men/≥18/All/All/All/All/All/Veterans/Vietnam-Era and Earlier Wartime Periods/All
LNU03049601,Thousands of Persons,All,≥18,All,All,All,All,All,Nonveterans,All,All,level,All/≥18/All/All/All/All/All/Nonveterans/All/All
LNU04049601,Percent,All,≥18,All,All,All,All,All,Nonveterans,All,All,rate,All/≥18/All/All/All/All/All/Nonveterans/All/All
LNU03049526,Thousands of Persons,All,≥18,All,All,All,All,All,Total Veterans,All,All,level,All/≥18/All/All/All/All/All/Total Veterans/All/All
LNU03066415,Thousands of Persons,All,≥18,All,All,All,All,All,Veterans,Gulf War Era I,All,level,All/≥18/All/All/All/All/All/Veterans/Gulf War Era I/All
LNU04066415,Percent,All,≥18,All,All,All,All,All,Veterans,Gulf War Era I,All,rate,All/≥18/All/All/All/All/All/Veterans/Gulf War Era I/All
LNU03049586,Thousands of Persons,All,≥18,All,All,All,All,All,Veterans,Other Service Periods,All,level,All/≥18/All/All/All/All/All/Veterans/Other Service Periods/All
LNU04049586,Percent,All,≥18,All,All,All,All,All,Veterans,Other Service Periods,All,rate,All/≥18/All/All/All/All/All/Veterans/Other Service Periods/All
LNU03077884,Thousands of Persons,All,≥18,All,All,All,All,All,Veterans,Vietnam-Era and Earlier Wartime Periods,All,level,All/≥18/All/All/All/All/All/Veterans/Vietnam-Era and Earlier Wartime Periods/All
LNU04077884,Percent,All,≥18,All,All,All,All,All,Veterans,Vietnam-Era and Earlier Wartime Periods,All,rate,All/≥18/All/All/All/All/All/Veterans/Vietnam-Era and Earlier Wartime Periods/All
LNU04049528,Percent,Women,≥18,All,All,All,All,All,Total Veterans,All,All,rate,Women/≥18/All/All/All/All/All/Total Veterans/All/All
LNU03049603,Thousands of Persons,Women,≥18,All,All,All,All,All,Nonveterans,All,All,level,Women/≥18/All/All/All/All/All/Nonveterans/All/All
LNU04049603,Percent,Women,≥18,All,All,All,All,All,Nonveterans,All,All,rate,Women/≥18/All/All/All/All/All/Nonveterans/All/All
LNU03049528,Thousands of Persons,Women,≥18,All,All,All,All,All,Total Veterans,All,All,level,Women/≥18/All/All/All/All/All/Total Veterans/All/All
LNU03066421,Thousands of Persons,Women,≥18,All,All,All,All,All,Veterans,Gulf War Era I,All,level,Women/≥18/All/All/All/All/All/Veterans/Gulf War Era I/All
LNU04066421,Percent,Women,≥18,All,All,All,All,All,Veterans,Gulf War Era I,All,rate,Women/≥18/All/All/All/All/All/Veterans/Gulf War Era I/All
LNU03066414,Thousands of Persons,Women,≥18,All,All,All,All,All,Veterans,Gulf War Era II,All,level,Women/≥18/All/All/All/All/All/Veterans/Gulf War Era II/All
LNU04066414,Percent,Women,≥18,All,All,All,All,All,Veterans,Gulf War Era II,All,rate,Women/≥18/All/All/All/All/All/Veterans/Gulf War Era II/All
LNU03049588,Thousands of Persons,Women,≥18,All,All,All,All,All,Veterans,Other Service Periods,All,level,Women/≥18/All/All/All/All/All/Veterans/Other Service Periods/All
LNU04049588,Percent,Women,≥18,All,All,All,All,All,Veterans,Other Service Periods,All,rate,Women/≥18/All/All/All/All/All/Veterans/Other Service Periods/All
LNU03073766,Thousands of Persons,Women,≥18,All,All,All,All,All,Veterans,Vietnam-Era and Earlier Wartime Periods,All,level,Women/≥18/All/All/All/All/All/Veterans/Vietnam-Era and Earlier Wartime Periods/All
LNU04073766,Percent,Women,≥18,All,All,All,All,All,Veterans,Vietnam-Era and Earlier Wartime Periods,All,rate,Women/≥18/All/All/All/All/All/Veterans/Vietnam-Era and Earlier Wartime Periods/All
TOTLU1617,Thousands of Persons,All,16-17,All,All,All,All,All,All,All,All,level,All/16-17/All/All/All/All/All/All/All/All
TOTLUM1617,Thousands of Persons,Men,16-17,All,All,All,All,All,All,All,All,level,Men/16-17/All/All/All/All/All/All/All/All
LNU03000031,Thousands of Persons,Men,≥20,All,Black or African American,All,All,All,All,All,All,level,Men/≥20/All/Black or African American/All/All/All/All/All/All
LNU04000031,Percent,Men,≥20,All,Black or African American,All,All,All,All,All,All,rate,Men/≥20/All/Black or African American/All/All/All/All/All/All
LNU03000034,Thousands of Persons,Men,≥20,All,Hispanic or Latino,All,All,All,All,All,All,level,Men/≥20/All/Hispanic or Latino/All/All/All/All/All/All
LNU04000034,Percent,Men,≥20,All,Hispanic or Latino,All,All,All,All,All,All,rate,Men/≥20/All/Hispanic or Latino/All/All/All/All/All/All
LNU03000028,Thousands of Persons,Men,≥20,All,White,All,All,All,All,All,All,level,Men/≥20/All/White/All/All/All/All/All/All
LNU04000028,Percent,Men,≥20,All,White,All,All,All,All,All,All,rate,Men/≥20/All/White/All/All/All/All/All/All
TOTLUW1617,Thousands of Persons,Women,16-17,All,All,All,All,All,All,All,All,level,Women/16-17/All/All/All/All/All/All/All/All
LNU03000032,Thousands of Persons,Women,≥20,All,Black or African American,All,All,All,All,All,All,level,Women/≥20/All/Black or African American/All/All/All/All/All/All
LNU04000032,Percent,Women,≥20,All,Black or African American,All,All,All,All,All,All,rate,Women/≥20/All/Black or African American/All/All/All/All/All/All
LNU03000035,Thousands of Persons,Women,≥20,All,Hispanic or Latino,All,All,All,All,All,All,level,Women/≥20/All/Hispanic or Latino/All/All/All/All/All/All
LNU04000035,Percent,Women,≥20,All,Hispanic or Latino,All,All,All,All,All,All,rate,Women/≥20/All/Hispanic or Latino/All/All/All/All/All/All
LNU03000029,Thousands of Persons,Women,≥20,All,White,All,All,All,All,All,All,level,Women/≥20/All/White/All/All/All/All/All/All
LNU04000029,Percent,Women,≥20,All,White,All,All,All,All,All,All,rate,Women/≥20/All/White/All/All/All/All/All/All
TOTLU1819,Thousands of Persons,All,18-19,All,All,All,All,All,All,All,All,level,All/18-19/All/All/All/All/All/All/All/All
TOTLUM1819,Thousands of Persons,Men,18-19,All,All,All,All,All,All,All,All,level,Men/18-19/All/All/All/All/All/All/All/All
TOTLUW1819,Thousands of Persons,Women,18-19,All,All,All,All,All,All,All,All,level,Women/18-19/All/All/All/All/All/All/All/All
TOTLUM2024,Thousands of Persons,Men,20-24,All,All,All,All,All,All,All,All,level,Men/20-24/All/All/All/All/All/All/All/All
TOTLUW2024,Thousands of Persons,Women,20-24,All,All,All,All,All,All,All,All,level,Women/20-24/All/All/All/All/All/All/All/All
CGBD65O,Percent,All,≥65,All,All,All,Bachelor's Degree,All,All,All,All,rate,All/≥65/All/All/All/Bachelor's Degree/All/All/All/All
CGBDU65O,Thousands of Persons,All,≥65,All,All,All,Bachelor's Degree,All,All,All,All,level,All/≥65/All/All/All/Bachelor's Degree/All/All/All/All
CGDD65O,Percent,All,≥65,All,All,All,Doctoral Degree,All,All,All,All,rate,All/≥65/All/All/All/Doctoral Degree/All/All/All/All
CGDDU65O,Thousands of Persons,All,≥65,All,All,All,Doctoral Degree,All,All,All,All,level,All/≥65/All/All/All/Doctoral Degree/All/All/All/All
HSGS65O,Percent,All,≥65,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"All/≥65/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSU65O,Thousands of Persons,All,≥65,All,All,All,"High School Graduates, No College",All,All,All,All,level,"All/≥65/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD65O,Percent,All,≥65,All,All,All,Less than a High School Diploma,All,All,All,All,rate,All/≥65/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDU65O,Thousands of Persons,All,≥65,All,All,All,Less than a High School Diploma,All,All,All,All,level,All/≥65/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD65O,Percent,All,≥65,All,All,All,Master's Degree,All,All,All,All,rate,All/≥65/All/All/All/Master's Degree/All/All/All/All
CGMDU65O,Thousands of Persons,All,≥65,All,All,All,Master's Degree,All,All,All,All,level,All/≥65/All/All/All/Master's Degree/All/All/All/All
CGBD65OM,Percent,Men,≥65,All,All,All,Bachelor's Degree,All,All,All,All,rate,Men/≥65/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUM65O,Thousands of Persons,Men,≥65,All,All,All,Bachelor's Degree,All,All,All,All,level,Men/≥65/All/All/All/Bachelor's Degree/All/All/All/All
CGDD65OM,Percent,Men,≥65,All,All,All,Doctoral Degree,All,All,All,All,rate,Men/≥65/All/All/All/Doctoral Degree/All/All/All/All
CGDDUM65O,Thousands of Persons,Men,≥65,All,All,All,Doctoral Degree,All,All,All,All,level,Men/≥65/All/All/All/Doctoral Degree/All/All/All/All
HSGS65OM,Percent,Men,≥65,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Men/≥65/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUM65O,Thousands of Persons,Men,≥65,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Men/≥65/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD65OM,Percent,Men,≥65,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Men/≥65/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUM65O,Thousands of Persons,Men,≥65,All,All,All,Less than a High School Diploma,All,All,All,All,level,Men/≥65/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD65OM,Percent,Men,≥65,All,All,All,Master's Degree,All,All,All,All,rate,Men/≥65/All/All/All/Master's Degree/All/All/All/All
CGMDUM65O,Thousands of Persons,Men,≥65,All,All,All,Master's Degree,All,All,All,All,level,Men/≥65/All/All/All/Master's Degree/All/All/All/All
CGPD65OM,Percent,Men,≥65,All,All,All,Professional Degree,All,All,All,All,rate,Men/≥65/All/All/All/Professional Degree/All/All/All/All
CGPDUM65O,Thousands of Persons,Men,≥65,All,All,All,Professional Degree,All,All,All,All,level,Men/≥65/All/All/All/Professional Degree/All/All/All/All
SCAD65OM,Percent,Men,≥65,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Men/≥65/All/All/All/Some College or Associate Degree/All/All/All/All
