series_id,metric,status,warning,expected_obs_count,actual_obs_count,count_match,rows_inserted,fred_message
HSGS1819,rate,ok,,315,315,TRUE,315,
HSGSU1819,level,ok,,315,315,TRUE,315,
LHSD1819,rate,ok,,315,315,TRUE,315,
LHSDU1819,level,ok,,315,315,TRUE,315,
CGMD1819,rate,ok,,172,172,TRUE,172,
CGMDU1819,level,ok,,158,158,TRUE,158,
TOTLUW5564,level,ok,,315,315,TRUE,315,
TOTLU65O,level,ok,,315,315,TRUE,315,
CGBD1819M,rate,ok,,257,257,TRUE,257,
CGBDUM1819,level,ok,,257,257,TRUE,257,
HSGS1819M,rate,ok,,315,315,TRUE,315,
HSGSUM1819,level,ok,,315,315,TRUE,315,
LHSD1819M,rate,ok,,315,315,TRUE,315,
LHSDUM1819,level,ok,,315,315,TRUE,315,
CGMD1819M,rate,ok,,90,90,TRUE,90,
CGMDUM1819,level,ok,,59,59,TRUE,59,
CGPD1819M,rate,ok,,140,140,TRUE,140,
CGPDUM1819,level,ok,,1,1,TRUE,1,
SCAD1819M,rate,ok,,315,315,TRUE,315,
SCADUM1819,level,ok,,315,315,TRUE,315,
CGPD1819,rate,ok,,140,140,TRUE,140,
CGPDU1819,level,ok,,128,128,TRUE,128,
SCAD1819,rate,ok,,315,315,TRUE,315,
SCADU1819,level,ok,,315,315,TRUE,315,
TOTLUM65O,level,ok,,315,315,TRUE,315,
TOTLUW65O,level,ok,,315,315,TRUE,315,
CGBD1819W,rate,ok,,280,280,TRUE,280,
CGBDUW1819,level,ok,,280,280,TRUE,280,
HSGS1819W,rate,ok,,315,315,TRUE,315,
HSGSUW1819,level,ok,,315,315,TRUE,315,
LHSD1819W,rate,ok,,315,315,TRUE,315,
LHSDUW1819,level,ok,,315,315,TRUE,315,
CGMD1819W,rate,ok,,172,172,TRUE,172,
CGMDUW1819,level,ok,,158,158,TRUE,158,
CGPD1819W,rate,ok,,120,120,TRUE,120,
CGPDUW1819,level,ok,,108,108,TRUE,108,
SCAD1819W,rate,ok,,315,315,TRUE,315,
SCADUW1819,level,ok,,315,315,TRUE,315,
LNU04000086,rate,ok,,939,939,TRUE,939,
LNU04000152,rate,ok,,939,939,TRUE,939,
CGBD2024,rate,ok,,315,315,TRUE,315,
CGBDU2024,level,ok,,315,315,TRUE,315,
CGDD2024,rate,ok,,303,303,TRUE,303,
CGDDU2024,level,ok,,303,303,TRUE,303,
HSGS2024,rate,ok,,315,315,TRUE,315,
HSGSU2024,level,ok,,315,315,TRUE,315,
LHSD2024,rate,ok,,315,315,TRUE,315,
LHSDU2024,level,ok,,315,315,TRUE,315,
CGMD2024,rate,ok,,315,315,TRUE,315,
CGMDU2024,level,ok,,315,315,TRUE,315,
LNU04000317,rate,ok,,939,939,TRUE,939,
CGBD2024M,rate,ok,,315,315,TRUE,315,
CGBDUM2024,level,ok,,315,315,TRUE,315,
CGDD2024M,rate,ok,,265,265,TRUE,265,
CGDDUM2024,level,ok,,265,265,TRUE,265,
HSGS2024M,rate,ok,,315,315,TRUE,315,
HSGSUM2024,level,ok,,315,315,TRUE,315,
LHSD2024M,rate,ok,,315,315,TRUE,315,
LHSDUM2024,level,ok,,315,315,TRUE,315,
CGMD2024M,rate,ok,,314,314,TRUE,314,
CGMDUM2024,level,ok,,314,314,TRUE,314,
CGPD2024M,rate,ok,,297,297,TRUE,297,
CGPDUM2024,level,ok,,297,297,TRUE,297,
SCAD2024M,rate,ok,,315,315,TRUE,315,
SCADUM2024,level,ok,,315,315,TRUE,315,
CGPD2024,rate,ok,,300,300,TRUE,300,
CGPDU2024,level,ok,,300,300,TRUE,300,
SCAD2024,rate,ok,,315,315,TRUE,315,
SCADU2024,level,ok,,315,315,TRUE,315,
LNU04000088,rate,ok,,939,939,TRUE,939,
LNU04000154,rate,ok,,939,939,TRUE,939,
CGBD2024W,rate,ok,,315,315,TRUE,315,
CGBDUW2024,level,ok,,315,315,TRUE,315,
CGDD2024W,rate,ok,,288,288,TRUE,288,
CGDDUW2024,level,ok,,288,288,TRUE,288,
HSGS2024W,rate,ok,,315,315,TRUE,315,
HSGSUW2024,level,ok,,315,315,TRUE,315,
LHSD2024W,rate,ok,,315,315,TRUE,315,
LHSDUW2024,level,ok,,315,315,TRUE,315,
CGMD2024W,rate,ok,,315,315,TRUE,315,
CGMDUW2024,level,ok,,315,315,TRUE,315,
CGPD2024W,rate,ok,,286,286,TRUE,286,
CGPDUW2024,level,ok,,286,286,TRUE,286,
SCAD2024W,rate,ok,,315,315,TRUE,315,
SCADUW2024,level,ok,,315,315,TRUE,315,
LNU04000319,rate,ok,,939,939,TRUE,939,
CGBD2534,rate,ok,,315,315,TRUE,315,
CGBDU2534,level,ok,,315,315,TRUE,315,
CGDD2534,rate,ok,,315,315,TRUE,315,
CGDDU2534,level,ok,,315,315,TRUE,315,
HSGS2534,rate,ok,,315,315,TRUE,315,
HSGSU2534,level,ok,,315,315,TRUE,315,
LHSD2534,rate,ok,,315,315,TRUE,315,
LHSDU2534,level,ok,,315,315,TRUE,315,
CGMD2534,rate,ok,,315,315,TRUE,315,
CGMDU2534,level,ok,,315,315,TRUE,315,
LNU04000036,rate,ok,,939,939,TRUE,939,
CGBD2534M,rate,ok,,315,315,TRUE,315,
CGBDUM2534,level,ok,,315,315,TRUE,315,
CGDD2534M,rate,ok,,312,312,TRUE,312,
CGDDUM2534,level,ok,,312,312,TRUE,312,
HSGS2534M,rate,ok,,315,315,TRUE,315,
HSGSUM2534,level,ok,,315,315,TRUE,315,
LHSD2534M,rate,ok,,315,315,TRUE,315,
LHSDUM2534,level,ok,,315,315,TRUE,315,
CGMD2534M,rate,ok,,315,315,TRUE,315,
CGMDUM2534,level,ok,,315,315,TRUE,315,
CGPD2534M,rate,ok,,313,313,TRUE,313,
CGPDUM2534,level,ok,,313,313,TRUE,313,
SCAD2534M,rate,ok,,315,315,TRUE,315,
SCADUM2534,level,ok,,315,315,TRUE,315,
CGPD2534,rate,ok,,315,315,TRUE,315,
CGPDU2534,level,ok,,315,315,TRUE,315,
SCAD2534,rate,ok,,315,315,TRUE,315,
SCADU2534,level,ok,,315,315,TRUE,315,
LNU04000037,rate,ok,,939,939,TRUE,939,
LNU04000038,rate,ok,,939,939,TRUE,939,
CGBD2534W,rate,ok,,315,315,TRUE,315,
CGBDUW2534,level,ok,,315,315,TRUE,315,
CGDD2534W,rate,ok,,315,315,TRUE,315,
CGDDUW2534,level,ok,,315,315,TRUE,315,
HSGS2534W,rate,ok,,315,315,TRUE,315,
HSGSUW2534,level,ok,,315,315,TRUE,315,
LHSD2534W,rate,ok,,315,315,TRUE,315,
LHSDUW2534,level,ok,,315,315,TRUE,315,
CGMD2534W,rate,ok,,315,315,TRUE,315,
CGMDUW2534,level,ok,,315,315,TRUE,315,
CGPD2534W,rate,ok,,314,314,TRUE,314,
CGPDUW2534,level,ok,,314,314,TRUE,314,
SCAD2534W,rate,ok,,315,315,TRUE,315,
SCADUW2534,level,ok,,315,315,TRUE,315,
CGBD3544,rate,ok,,315,315,TRUE,315,
CGBDU3544,level,ok,,315,315,TRUE,315,
CGDD3544,rate,ok,,315,315,TRUE,315,
CGDDU3544,level,ok,,315,315,TRUE,315,
HSGS3544,rate,ok,,315,315,TRUE,315,
HSGSU3544,level,ok,,315,315,TRUE,315,
LHSD3544,rate,ok,,315,315,TRUE,315,
LHSDU3544,level,ok,,315,315,TRUE,315,
CGMD3544,rate,ok,,315,315,TRUE,315,
CGMDU3544,level,ok,,315,315,TRUE,315,
LNU04000089,rate,ok,,939,939,TRUE,939,
CGBD3544M,rate,ok,,315,315,TRUE,315,
CGBDUM3544,level,ok,,315,315,TRUE,315,
CGDD3544M,rate,ok,,315,315,TRUE,315,
CGDDUM3544,level,ok,,315,315,TRUE,315,
HSGS3544M,rate,ok,,315,315,TRUE,315,
HSGSUM3544,level,ok,,315,315,TRUE,315,
LHSD3544M,rate,ok,,315,315,TRUE,315,
LHSDUM3544,level,ok,,315,315,TRUE,315,
CGMD3544M,rate,ok,,315,315,TRUE,315,
CGMDUM3544,level,ok,,315,315,TRUE,315,
CGPD3544M,rate,ok,,315,315,TRUE,315,
CGPDUM3544,level,ok,,315,315,TRUE,315,
SCAD3544M,rate,ok,,315,315,TRUE,315,
SCADUM3544,level,ok,,315,315,TRUE,315,
CGPD3544,rate,ok,,315,315,TRUE,315,
CGPDU3544,level,ok,,315,315,TRUE,315,
SCAD3544,rate,ok,,315,315,TRUE,315,
SCADU3544,level,ok,,315,315,TRUE,315,
LNU04000164,rate,ok,,939,939,TRUE,939,
LNU04000327,rate,ok,,939,939,TRUE,939,
CGBD3544W,rate,ok,,315,315,TRUE,315,
CGBDUW3544,level,ok,,315,315,TRUE,315,
CGDD3544W,rate,ok,,315,315,TRUE,315,
CGDDUW3544,level,ok,,315,315,TRUE,315,
HSGS3544W,rate,ok,,315,315,TRUE,315,
HSGSUW3544,level,ok,,315,315,TRUE,315,
LHSD3544W,rate,ok,,315,315,TRUE,315,
LHSDUW3544,level,ok,,315,315,TRUE,315,
CGMD3544W,rate,ok,,315,315,TRUE,315,
CGMDUW3544,level,ok,,315,315,TRUE,315,
CGPD3544W,rate,ok,,315,315,TRUE,315,
CGPDUW3544,level,ok,,315,315,TRUE,315,
SCAD3544W,rate,ok,,315,315,TRUE,315,
SCADUW3544,level,ok,,315,315,TRUE,315,
LNU04000091,rate,ok,,939,939,TRUE,939,
LNU04000173,rate,ok,,939,939,TRUE,939,
CGBD4554,rate,ok,,315,315,TRUE,315,
CGBDU4554,level,ok,,315,315,TRUE,315,
CGDD4554,rate,ok,,315,315,TRUE,315,
CGDDU4554,level,ok,,315,315,TRUE,315,
HSGS4554,rate,ok,,315,315,TRUE,315,
HSGSU4554,level,ok,,315,315,TRUE,315,
LHSD4554,rate,ok,,315,315,TRUE,315,
LHSDU4554,level,ok,,315,315,TRUE,315,
CGMD4554,rate,ok,,315,315,TRUE,315,
CGMDU4554,level,ok,,315,315,TRUE,315,
LNU04000334,rate,ok,,939,939,TRUE,939,
LNU04000093,rate,ok,,939,939,TRUE,939,
CGBD4554M,rate,ok,,315,315,TRUE,315,
CGBDUM4554,level,ok,,315,315,TRUE,315,
CGDD4554M,rate,ok,,311,311,TRUE,311,
CGDDUM4554,level,ok,,311,311,TRUE,311,
HSGS4554M,rate,ok,,315,315,TRUE,315,
HSGSUM4554,level,ok,,315,315,TRUE,315,
LHSD4554M,rate,ok,,315,315,TRUE,315,
LHSDUM4554,level,ok,,315,315,TRUE,315,
CGMD4554M,rate,ok,,315,315,TRUE,315,
CGMDUM4554,level,ok,,315,315,TRUE,315,
CGPD4554M,rate,ok,,312,312,TRUE,312,
CGPDUM4554,level,ok,,312,312,TRUE,312,
SCAD4554M,rate,ok,,315,315,TRUE,315,
SCADUM4554,level,ok,,315,315,TRUE,315,
CGPD4554,rate,ok,,313,313,TRUE,313,
CGPDU4554,level,ok,,313,313,TRUE,313,
SCAD4554,rate,ok,,315,315,TRUE,315,
SCADU4554,level,ok,,315,315,TRUE,315,
LNU04000182,rate,ok,,939,939,TRUE,939,
LNU04000341,rate,ok,,939,939,TRUE,939,
CGBD4554W,rate,ok,,315,315,TRUE,315,
CGBDUW4554,level,ok,,315,315,TRUE,315,
CGDD4554W,rate,ok,,315,315,TRUE,315,
CGDDUW4554,level,ok,,315,315,TRUE,315,
HSGS4554W,rate,ok,,315,315,TRUE,315,
HSGSUW4554,level,ok,,315,315,TRUE,315,
LHSD4554W,rate,ok,,315,315,TRUE,315,
LHSDUW4554,level,ok,,315,315,TRUE,315,
CGMD4554W,rate,ok,,315,315,TRUE,315,
CGMDUW4554,level,ok,,315,315,TRUE,315,
CGPD4554W,rate,ok,,313,313,TRUE,313,
CGPDUW4554,level,ok,,313,313,TRUE,313,
SCAD4554W,rate,ok,,315,315,TRUE,315,
SCADUW4554,level,ok,,315,315,TRUE,315,
LNU04000095,rate,ok,,939,939,TRUE,939,
LNU04000190,rate,ok,,939,939,TRUE,939,
CGBD5564,rate,ok,,315,315,TRUE,315,
CGBDU5564,level,ok,,315,315,TRUE,315,
CGDD5564,rate,ok,,315,315,TRUE,315,
CGDDU5564,level,ok,,315,315,TRUE,315,
HSGS5564,rate,ok,,315,315,TRUE,315,
HSGSU5564,level,ok,,315,315,TRUE,315,
LHSD5564,rate,ok,,315,315,TRUE,315,
LHSDU5564,level,ok,,315,315,TRUE,315,
CGMD5564,rate,ok,,315,315,TRUE,315,
CGMDU5564,level,ok,,315,315,TRUE,315,
